774902;Osiris | Elite Crew;https://steamcommunity.com/market/listings/730/Osiris%20%7C%20Elite%20Crew
774952;Dragomir | Sabre;https://steamcommunity.com/market/listings/730/Dragomir%20%7C%20Sabre
774881;Ground Rebel  | Elite Crew;https://steamcommunity.com/market/listings/730/Ground%20Rebel%20%20%7C%20Elite%20Crew
835613;Sir Bloody Darryl Royale | The Professionals;https://steamcommunity.com/market/listings/730/Sir%20Bloody%20Darryl%20Royale%20%7C%20The%20Professionals
774871;The Elite Mr. Muhlik | Elite Crew;https://steamcommunity.com/market/listings/730/The%20Elite%20Mr.%20Muhlik%20%7C%20Elite%20Crew
871484;Trapper | Guerrilla Warfare;https://steamcommunity.com/market/listings/730/Trapper%20%7C%20Guerrilla%20Warfare
871315;Vypa Sista of the Revolution | Guerrilla Warfare;https://steamcommunity.com/market/listings/730/Vypa%20Sista%20of%20the%20Revolution%20%7C%20Guerrilla%20Warfare
774774;'The Doctor' Romanov | Sabre;https://steamcommunity.com/market/listings/730/%27The%20Doctor%27%20Romanov%20%7C%20Sabre
774974;Prof. Shahmat | Elite Crew;https://steamcommunity.com/market/listings/730/Prof.%20Shahmat%20%7C%20Elite%20Crew
871390;Elite Trapper Solman | Guerrilla Warfare;https://steamcommunity.com/market/listings/730/Elite%20Trapper%20Solman%20%7C%20Guerrilla%20Warfare
774854;Rezan The Ready | Sabre;https://steamcommunity.com/market/listings/730/Rezan%20The%20Ready%20%7C%20Sabre
835463;Getaway Sally | The Professionals;https://steamcommunity.com/market/listings/730/Getaway%20Sally%20%7C%20The%20Professionals
835545;Sir Bloody Silent Darryl | The Professionals;https://steamcommunity.com/market/listings/730/Sir%20Bloody%20Silent%20Darryl%20%7C%20The%20Professionals
774701;Maximus | Sabre;https://steamcommunity.com/market/listings/730/Maximus%20%7C%20Sabre
871354;Crasswater The Forgotten | Guerrilla Warfare;https://steamcommunity.com/market/listings/730/Crasswater%20The%20Forgotten%20%7C%20Guerrilla%20Warfare
835805;Little Kev | The Professionals;https://steamcommunity.com/market/listings/730/Little%20Kev%20%7C%20The%20Professionals
835674;Safecracker Voltzmann | The Professionals;https://steamcommunity.com/market/listings/730/Safecracker%20Voltzmann%20%7C%20The%20Professionals
775002;Soldier | Phoenix;https://steamcommunity.com/market/listings/730/Soldier%20%7C%20Phoenix
835404;Rezan the Redshirt | Sabre;https://steamcommunity.com/market/listings/730/Rezan%20the%20Redshirt%20%7C%20Sabre
774894;Blackwolf | Sabre;https://steamcommunity.com/market/listings/730/Blackwolf%20%7C%20Sabre
871595;Trapper Aggressor | Guerrilla Warfare;https://steamcommunity.com/market/listings/730/Trapper%20Aggressor%20%7C%20Guerrilla%20Warfare
835408;Sir Bloody Skullhead Darryl | The Professionals;https://steamcommunity.com/market/listings/730/Sir%20Bloody%20Skullhead%20Darryl%20%7C%20The%20Professionals
871797;Col. Mangos Dabisi | Guerrilla Warfare;https://steamcommunity.com/market/listings/730/Col.%20Mangos%20Dabisi%20%7C%20Guerrilla%20Warfare
835840;Street Soldier | Phoenix;https://steamcommunity.com/market/listings/730/Street%20Soldier%20%7C%20Phoenix
42455;★ Bloodhound Gloves | Guerrilla (Field-Tested);https://steamcommunity.com/market/listings/730/%E2%98%85%20Bloodhound%20Gloves%20%7C%20Guerrilla%20%28Field-Tested%29
42447;★ Bloodhound Gloves | Bronzed (Field-Tested);https://steamcommunity.com/market/listings/730/%E2%98%85%20Bloodhound%20Gloves%20%7C%20Bronzed%20%28Field-Tested%29
42448;★ Bloodhound Gloves | Bronzed (Minimal Wear);https://steamcommunity.com/market/listings/730/%E2%98%85%20Bloodhound%20Gloves%20%7C%20Bronzed%20%28Minimal%20Wear%29
42454;★ Bloodhound Gloves | Guerrilla (Battle-Scarred);https://steamcommunity.com/market/listings/730/%E2%98%85%20Bloodhound%20Gloves%20%7C%20Guerrilla%20%28Battle-Scarred%29
